"state","zipcode","total_pop","total_income","country","avg_income"
"AL",36264,"3400","176324","USA","51860.000000000000"
"AL",36265,"7620","385187","USA","50549.475065616798"
"AL",36266,"2250","101276","USA","45011.555555555556"
"AL",36268,"2300","104112","USA","45266.086956521739"
"AL",36269,"470","20672","USA","43982.978723404255"
"AL",36271,"2460","124607","USA","50653.252032520325"
"AL",36272,"4700","207952","USA","44245.106382978723"
"AL",36273,"1050","57421","USA","54686.666666666667"
"AL",36274,"4250","169482","USA","39878.117647058824"
"AL",36276,"880","40228","USA","45713.636363636364"
"AL",36277,"2330","109426","USA","46963.948497854077"
"AL",36278,"1900","117615","USA","61902.631578947368"
"AL",36279,"1060","49741","USA","46925.471698113208"
"AL",36280,"1490","71106","USA","47722.147651006711"
"AL",36301,"15550","750238","USA","48246.816720257235"
"AL",36303,"12590","768458","USA","61037.172359015091"
"AL",36305,"6990","616712","USA","88227.753934191702"
"AL",36310,"2410","116486","USA","48334.439834024896"
"AL",36311,"1060","52366","USA","49401.886792452830"
"AL",36312,"2480","127076","USA","51240.322580645161"
"AL",36314,"240","10610","USA","44208.333333333333"
"AL",36316,"750","40203","USA","53604.000000000000"
"AL",36317,"170","6855","USA","40323.529411764706"
"AL",36318,"480","24826","USA","51720.833333333333"
"AL",36319,"880","46216","USA","52518.181818181818"
"AL",36320,"1360","56416","USA","41482.352941176471"
"AL",36321,"780","34868","USA","44702.564102564103"
"AL",36322,"3410","149816","USA","43934.310850439883"
"AL",36323,"2950","134898","USA","45728.135593220339"
"AL",36330,"15320","918123","USA","59929.699738903394"
"AL",36340,"1990","88931","USA","44688.944723618090"
"AL",36343,"580","22009","USA","37946.551724137931"
"AL",36344,"2130","99832","USA","46869.483568075117"
"AL",36345,"3570","212042","USA","59395.518207282913"
"AL",36346,"580","27891","USA","48087.931034482759"
"AL",36350,"3090","166938","USA","54025.242718446602"
"AL",36351,"1490","85397","USA","57313.422818791946"
"AL",36352,"2150","129083","USA","60038.604651162791"
"AL",36353,"840","38391","USA","45703.571428571429"
"AL",36360,"7810","375968","USA","48139.308578745198"
"AL",36362,"1400","74744","USA","53388.571428571429"
"AL",36370,"350","15866","USA","45331.428571428571"
"AL",36373,"210","7424","USA","35352.380952380952"
"AL",36374,"490","25517","USA","52075.510204081633"
"AL",36375,"2870","128873","USA","44903.484320557491"
"AL",36376,"870","37311","USA","42886.206896551724"
"AL",36401,"2750","111387","USA","40504.363636363636"
"AL",36420,"4390","239250","USA","54498.861047835991"
"AL",36421,"3570","221773","USA","62121.288515406162"
"AL",36425,"330","10548","USA","31963.636363636364"
"AL",36426,"5590","262530","USA","46964.221824686941"
"AL",36432,"910","34866","USA","38314.285714285714"
"AL",36435,"190","5417","USA","28510.526315789474"
"AL",36436,"180","7621","USA","42338.888888888889"
"AL",36441,"1470","69614","USA","47356.462585034014"
"AL",36442,"1140","47597","USA","41751.754385964912"
"AL",36444,"220","8106","USA","36845.454545454545"
"AL",36445,"1550","64807","USA","41810.967741935484"
"AL",36451,"1820","96761","USA","53165.384615384615"
"AL",36453,"870","43697","USA","50226.436781609195"
"AL",36456,"650","30108","USA","46320.000000000000"
"AL",36460,"3350","176230","USA","52605.970149253731"
"AL",36467,"3690","166439","USA","45105.420054200542"
"AL",36471,"360","12765","USA","35458.333333333333"
"AL",36474,"1100","53224","USA","48385.454545454545"
"AL",36475,"710","31875","USA","44894.366197183099"
"AL",36477,"1710","75916","USA","44395.321637426901"
"AL",36480,"680","34066","USA","50097.058823529412"
"AL",36481,"100","3108","USA","31080.000000000000"
"AL",36482,"350","12143","USA","34694.285714285714"
"AL",36483,"170","6716","USA","39505.882352941176"
"AL",36502,"6060","259288","USA","42786.798679867987"
"AL",36505,"620","34490","USA","55629.032258064516"
"AL",36507,"8040","411709","USA","51207.587064676617"
"AL",36509,"750","28131","USA","37508.000000000000"
"AL",36511,"370","14551","USA","39327.027027027027"
"AL",36518,"1010","65631","USA","64981.188118811881"
"AL",36521,"1990","107922","USA","54232.160804020101"
"AL",36522,"2720","129102","USA","47463.970588235294"
"AL",36523,"990","48493","USA","48982.828282828283"
"AL",36524,"410","17199","USA","41948.780487804878"
"AL",36525,"810","44403","USA","54818.518518518519"
"AL",36526,"15800","1209247","USA","76534.620253164557"
"AL",36527,"7200","739518","USA","102710.833333333333"
"AL",36528,"830","69665","USA","83933.734939759036"
"AL",36529,"230","11553","USA","50230.434782608696"
"AL",36530,"3390","211634","USA","62428.908554572271"
"AL",36532,"14800","1416766","USA","95727.432432432432"
"AL",36535,"14000","673450","USA","48103.571428571429"
"AL",36538,"150","5426","USA","36173.333333333333"
"AL",36539,"280","14750","USA","52678.571428571429"
"AL",36540,"370","12765","USA","34500.000000000000"
"AL",36541,"5790","305289","USA","52726.943005181347"
"AL",36542,"6970","451137","USA","64725.538020086083"
"AL",36544,"4400","188446","USA","42828.636363636364"
"AL",36545,"3520","183351","USA","52088.352272727273"
"AL",36548,"480","27217","USA","56702.083333333333"
"AL",36549,"2400","138457","USA","57690.416666666667"
"AL",36551,"4070","218353","USA","53649.385749385749"
"AL",36553,"1250","55120","USA","44096.000000000000"
"AL",36555,"600","52828","USA","88046.666666666667"
"AL",36558,"1280","70924","USA","55409.375000000000"
"AL",36560,"1240","45058","USA","36337.096774193548"
"AL",36561,"4160","402629","USA","96785.817307692308"
"AL",36562,"730","33299","USA","45615.068493150685"
"AL",36567,"5880","285120","USA","48489.795918367347"
"AL",36569,"310","17037","USA","54958.064516129032"
"AL",36571,"7160","438414","USA","61231.005586592179"
"AL",36572,"2960","187881","USA","63473.310810810811"
"AL",36574,"560","31770","USA","56732.142857142857"
"AL",36575,"8660","458579","USA","52953.695150115473"
"AL",36576,"2130","113199","USA","53145.070422535211"
"AL",36578,"870","53033","USA","60957.471264367816"
"AL",36579,"690","39293","USA","56946.376811594203"
"AL",36580,"2720","127670","USA","46937.500000000000"
"AL",36582,"9900","532044","USA","53741.818181818182"
